species,quintile,freq_khz,mean_TS,se_TS
LT,q80,136,-41.871744736,0.5820767370750245
LT,q80,136.5,-41.940907584,0.5863298070153766
LT,q80,137,-41.993527816,0.5930667125958146
LT,q80,137.5,-42.005399576,0.5913609510368467
LT,q80,138,-41.96106432,0.5814060585726686
LT,q80,138.5,-41.950934032,0.5751437952187779
LT,q80,139,-42.043569432,0.5674106299861894
LT,q80,139.5,-42.190053823999996,0.5605966026134578
LT,q80,140,-42.259647656,0.564822124373501
LT,q80,140.5,-42.380196528,0.5613269016596145
LT,q80,141,-42.464832784,0.5631560737571538
LT,q80,141.5,-42.52640332,0.5569170404519509
LT,q80,142,-42.511078944,0.5529908894873531
LT,q80,142.5,-42.475638072,0.5220566004590081
LT,q80,143,-42.579530728,0.5196749319360278
LT,q80,143.5,-42.70839776,0.5098907080363719
LT,q80,144,-42.849130768,0.5086726433473585
LT,q80,144.5,-42.976261656,0.49185207636901973
LT,q80,145,-43.10511548,0.5030048277434159
LT,q80,145.5,-43.148002112,0.5155541186676528
LT,q80,146,-43.15239536,0.5056847760895383
LT,q80,146.5,-43.243969976,0.49965018048014365
LT,q80,147,-43.368073439999996,0.4893420306621509
LT,q80,147.5,-43.402337912,0.4928532001883609
LT,q80,148,-43.539283176,0.512422890419441
LT,q80,148.5,-43.474584584,0.5027382957483486
LT,q80,149,-43.396792848,0.5086968921670056
LT,q80,149.5,-43.254304239999996,0.5037411944398624
LT,q80,150,-43.161629848,0.4912628384193713
LT,q80,150.5,-43.101253559999996,0.4866243064984162
LT,q80,151,-42.980364703999996,0.4909561539233681
LT,q80,151.5,-42.9905772,0.5052943618903897
LT,q80,152,-43.017863352,0.5121091416782422
LT,q80,152.5,-42.954328248,0.5044905179018988
LT,q80,153,-42.95271136,0.48298503151292554
LT,q80,153.5,-42.873262679999996,0.47353465943154494
LT,q80,154,-42.923661592,0.47466922389353305
LT,q80,154.5,-42.983553392,0.4810981375286474
LT,q80,155,-42.910931336,0.49159554149786155
LT,q80,155.5,-42.773183736,0.4821926631038841
LT,q80,156,-42.552448663999996,0.47425175136268977
LT,q80,156.5,-42.368470896,0.46247756230185877
LT,q80,157,-42.240288463999995,0.4767146545823028
LT,q80,157.5,-42.169359568,0.49093847730669526
LT,q80,158,-42.145547656,0.5079144975452922
LT,q80,158.5,-42.031976616,0.5086182971715134
LT,q80,159,-41.847803248,0.5070320162743606
LT,q80,159.5,-41.641402336,0.5122205934248114
LT,q80,160,-41.41036172,0.5110081926172185
LT,q80,160.5,-41.159002184,0.5123684497445765
LT,q80,161,-40.87696892,0.5228573729728919
LT,q80,161.5,-40.558784576,0.5114348158821327
LT,q80,162,-40.36088212,0.515484555231867
LT,q80,162.5,-40.299224384,0.5174415816884788
LT,q80,163,-40.232754383999996,0.5348651887443594
LT,q80,163.5,-40.178671528,0.5611357809942398
LT,q80,164,-40.113396304,0.5810362823140596
LT,q80,164.5,-40.028527784,0.5697437777700316
LT,q80,165,-39.88842372,0.5528608943317554
LT,q80,165.5,-39.841513776,0.540620862392209
LT,q80,166,-39.8612634,0.5272571617775335
LT,q80,166.5,-39.988260648,0.5550473055148959
LT,q80,167,-40.316873088,0.5725082323403744
LT,q80,167.5,-40.60926656,0.5761633675119087
LT,q80,168,-40.965554456,0.5890777394726328
LT,q80,168.5,-41.350778592,0.5770831356720225
LT,q80,169,-41.63737256,0.5694745510296745
LT,q80,169.5,-41.843695088,0.5393519873572099
LT,q80,170,-42.12654696,0.5207483934969388
LT,q100,45,-37.49685504,1.1624728620489533
LT,q100,45.5,-37.68511556,1.2322066409501629
LT,q100,46,-37.63601044,1.229404317001326
LT,q100,46.5,-37.457629680000004,1.2536728552150087
LT,q100,47,-37.53215736,1.266428502938809
LT,q100,47.5,-37.32987652,1.2534307375575833
LT,q100,48,-37.36302324,1.2538232568731704
LT,q100,48.5,-37.37670292,1.2805892413332893
LT,q100,49,-37.21316216,1.281235584183754
LT,q100,49.5,-36.91831448,1.256525361688397
LT,q100,50,-36.6291082,1.2527340298482474
LT,q100,50.5,-36.4986294,1.265819229733086
LT,q100,51,-36.34402792,1.2649242379315184
LT,q100,51.5,-36.25285244,1.2832125339766416
LT,q100,52,-36.06109948,1.2785299838421325
LT,q100,52.5,-35.82412028,1.2732631125013198
LT,q100,53,-35.56859332,1.285765148834769
LT,q100,53.5,-35.29624764,1.2889206004998586
LT,q100,54,-35.10335328,1.3167719099642397
LT,q100,54.5,-34.94479304,1.330690700315476
LT,q100,55,-34.86438652,1.3642071287950108
LT,q100,55.5,-34.79753216,1.3852510528660953
LT,q100,56,-34.75563576,1.408770412218574
LT,q100,56.5,-34.60640136,1.405233467491879
LT,q100,57,-34.40915696,1.3904089053670032
LT,q100,57.5,-34.15812464,1.366905838689065
LT,q100,58,-33.9655816,1.364244750572476
LT,q100,58.5,-33.92579752,1.3805341436708294
LT,q100,59,-33.835246,1.3852752982879193
LT,q100,59.5,-33.66706596,1.3714407934861832
LT,q100,60,-33.47744456,1.3643509914879837
LT,q100,60.5,-33.1822068,1.3537517185559507
LT,q100,61,-32.86976228,1.3246308087550025
LT,q100,61.5,-32.63870828,1.3090977980048963
LT,q100,62,-32.48031208,1.3107954279084486
LT,q100,62.5,-32.43593916,1.325118464903192
LT,q100,63,-32.36651464,1.3296257766338326
LT,q100,63.5,-32.28763476,1.3392191257593302
LT,q100,64,-32.17884536,1.348012761609052
LT,q100,64.5,-31.88210268,1.3128723257262753
LT,q100,65,-31.67763188,1.30011953141954
LT,q100,65.5,-31.53087796,1.3036754520970053
LT,q100,66,-31.38691272,1.320766801171873
LT,q100,66.5,-31.21693532,1.3220492089442546
LT,q100,67,-31.0007664,1.2978659028353943
LT,q100,67.5,-30.86507172,1.2955010069217592
LT,q100,68,-30.78482324,1.3001966750758023
LT,q100,68.5,-30.63455544,1.2860637369872656
LT,q100,69,-30.51847728,1.2694923469479766
LT,q100,69.5,-30.50623772,1.2745535293866104
LT,q100,70,-30.41594184,1.2822199073676568
LT,q100,70.5,-30.31189912,1.3185467170473537
LT,q100,71,-30.01281704,1.2975598491054372
LT,q100,71.5,-29.87970644,1.3068055948055473
LT,q100,72,-29.80407632,1.3257983422615305
LT,q100,72.5,-29.7077228,1.3278921997098347
LT,q100,73,-29.62889228,1.3416426095718568
LT,q100,73.5,-29.47067712,1.3473097008620938
LT,q100,74,-29.234647159999998,1.3256079515049823
LT,q100,74.5,-28.98914792,1.3124574422614155
LT,q100,75,-28.77677804,1.3078950080738863
LT,q100,75.5,-28.59630992,1.3078508452154218
LT,q100,76,-28.3382374,1.2925249190448593
LT,q100,76.5,-28.18450072,1.3032843145765527
LT,q100,77,-28.10635484,1.324322272200743
LT,q100,77.5,-28.05223424,1.328125369882771
LT,q100,78,-28.10778136,1.352327800654908
LT,q100,78.5,-28.03075852,1.3573749229922267
LT,q100,79,-27.91034396,1.3452313926334167
LT,q100,79.5,-27.84924952,1.3521446550340426
LT,q100,80,-27.63448508,1.3261107202784876
LT,q100,80.5,-27.49188188,1.3276264967795703
LT,q100,81,-27.32844472,1.334590925007991
LT,q100,81.5,-27.096751,1.32792662160031
LT,q100,82,-26.93897496,1.342526713004765
LT,q100,82.5,-26.81269968,1.3449644796567477
LT,q100,83,-26.74311896,1.355792472604901
LT,q100,83.5,-26.66803168,1.3424400498332152
LT,q100,84,-26.5694706,1.3347362068962165
LT,q100,84.5,-26.31691684,1.3120931330293488
