qnum,freq_khz,mean_TS,se_TS,quintile
4,65,-45.41184707017544,0.47657083776354636,Q4
4,65.5,-45.370948943859645,0.4781362095288878,Q4
4,66,-45.33626705614035,0.49040395182800334,Q4
4,66.5,-45.247039017543855,0.4924895607435098,Q4
4,67,-45.16039785964912,0.48669417970560497,Q4
4,67.5,-45.051747287719294,0.49073588890423725,Q4
4,68,-44.931101652631575,0.48141373082439415,Q4
4,68.5,-44.77517208070175,0.471392673317327,Q4
4,69,-44.6169668245614,0.47025212931795207,Q4
4,69.5,-44.437946543859645,0.46208122147926756,Q4
4,70,-44.2767287754386,0.45458787163178493,Q4
4,70.5,-44.158899550877194,0.462357801102111,Q4
4,71,-44.021342866666664,0.463273871236823,Q4
4,71.5,-43.912668631578946,0.46725960972809566,Q4
4,72,-43.822177333333336,0.47171218472291926,Q4
4,72.5,-43.71680003859649,0.4767687935961647,Q4
4,73,-43.63345749473684,0.4817371313343937,Q4
4,73.5,-43.50165894035088,0.484234480321346,Q4
4,74,-43.39156039649123,0.4937861864270382,Q4
4,74.5,-43.22691600350877,0.4922257507311985,Q4
4,75,-43.097224235087715,0.48945983656575076,Q4
4,75.5,-42.99187199298245,0.49008138381321353,Q4
4,76,-42.88559916491228,0.48348419505155643,Q4
4,76.5,-42.82410491578947,0.47792494588385837,Q4
4,77,-42.732448431578945,0.4666789181091104,Q4
4,77.5,-42.578376859649126,0.45937569202426837,Q4
4,78,-42.404416898245614,0.4536210665529775,Q4
4,78.5,-42.28173670877193,0.45149780095319914,Q4
4,79,-42.189555526315786,0.4530553108058407,Q4
4,79.5,-42.08878783859649,0.44926360396682946,Q4
4,80,-41.94758754385965,0.4515810339617312,Q4
4,80.5,-41.83831150175438,0.45903035519634855,Q4
4,81,-41.73668099298246,0.4639478277549037,Q4
4,81.5,-41.70309310877193,0.467858880511642,Q4
4,82,-41.65363667017544,0.4684301453120923,Q4
4,82.5,-41.610340887719296,0.4691067701212151,Q4
4,83,-41.48949592631579,0.4669851719165332,Q4
4,83.5,-41.33164730877193,0.4621873783195054,Q4
4,84,-41.142985782456144,0.45757654453704666,Q4
4,84.5,-40.918623866666664,0.46343753556676787,Q4
4,85,-40.78059798596491,0.46069567215445356,Q4
4,85.5,-40.575522343859646,0.471631373810622,Q4
4,86,-40.40390305614035,0.47371966926526143,Q4
4,86.5,-40.17472678245614,0.4741777884008771,Q4
4,87,-39.87867568421053,0.4774856742426465,Q4
4,87.5,-39.512299866666666,0.47253588971288785,Q4
4,88,-39.32272151929824,0.464354532805479,Q4
4,88.5,-39.33228316842105,0.45621372392694504,Q4
4,89,-39.59378620350877,0.44443236980145134,Q4
4,89.5,-39.99332556491228,0.441026323186006,Q4
4,91,-41.03261799298245,0.48167460995219236,Q4
4,91.5,-41.07056995789473,0.46797475214671863,Q4
4,92,-41.26681455087719,0.4566992708620965,Q4
4,92.5,-41.48904234736842,0.4468018937614151,Q4
4,93,-41.64606971578947,0.45603769741191097,Q4
4,93.5,-41.72295302807017,0.4574085031109285,Q4
4,94,-41.70538714035088,0.464446312968876,Q4
4,94.5,-41.72601849473684,0.46361515829280237,Q4
4,95,-41.72030730175438,0.46134047101022263,Q4
4,95.5,-41.84158949473684,0.4584422034405318,Q4
4,96,-42.007725214035084,0.453961551491176,Q4
4,96.5,-42.16078636140351,0.44714604659346024,Q4
4,97,-42.296373852631575,0.44814080101041814,Q4
4,97.5,-42.305452284210524,0.44345914242719653,Q4
4,98,-42.298914417543855,0.4420634277337785,Q4
4,98.5,-42.2011664631579,0.44098769582156616,Q4
4,99,-42.149672782456136,0.4365207594931356,Q4
4,99.5,-42.24932705964912,0.4321765941192765,Q4
4,100,-42.36758991929825,0.4300362298090165,Q4
4,100.5,-42.47840355087719,0.42226689816732343,Q4
4,101,-42.483390470175436,0.42220657098597947,Q4
4,101.5,-42.41143646315789,0.4179974456142131,Q4
4,102,-42.34333415087719,0.4183162644875404,Q4
4,102.5,-42.25883233333333,0.4195854265746306,Q4
4,103,-42.19802945614035,0.4161278160205707,Q4
4,103.5,-42.20047687719298,0.4084004968906218,Q4
4,104,-42.140031280701756,0.40392846992066245,Q4
4,104.5,-42.117100168421054,0.406924694291392,Q4
4,105,-42.15053932280701,0.4078120610921527,Q4
4,105.5,-42.23549016842105,0.4039405721461662,Q4
4,106,-42.24826983859649,0.4000747791835745,Q4
4,106.5,-42.196317105263155,0.39826081073497105,Q4
4,107,-42.08934482105263,0.39385639435028946,Q4
4,107.5,-42.00185166666667,0.38707394362974534,Q4
4,108,-42.02681617894737,0.38107195465456456,Q4
4,108.5,-42.1009556491228,0.3720586432831944,Q4
4,109,-42.12907050526316,0.37912359215875996,Q4
4,109.5,-42.05778201403509,0.3890544072938891,Q4
4,110,-42.00704698596491,0.3910685883962811,Q4
4,110.5,-41.9664736,0.39041219868354143,Q4
4,111,-41.916069849122806,0.38445559180356026,Q4
4,111.5,-41.96632177894737,0.3840006949612738,Q4
4,112,-41.979618238596494,0.3849786662642841,Q4
4,112.5,-41.99713053333333,0.38773670071446203,Q4
4,113,-41.925620112280704,0.3859024815266029,Q4
4,113.5,-41.79030454736842,0.38125435248116396,Q4
4,114,-41.67865743508772,0.37259743635564685,Q4
4,114.5,-41.68451039649123,0.3669083131840612,Q4
4,115,-41.699921228070174,0.3681189396289271,Q4
4,115.5,-41.61485005614035,0.37545961872928135,Q4
4,116,-41.42497729122807,0.38861453400356694,Q4
4,116.5,-41.52456260350877,0.3825334407540812,Q4
4,117,-41.66509723859649,0.3737062491133743,Q4
4,117.5,-41.612377957894736,0.3732456034318038,Q4
4,118,-41.60924103157895,0.37367567883270986,Q4
4,118.5,-41.56226245614035,0.3731733839496005,Q4
4,119,-41.53512116491228,0.3761265358255678,Q4
4,119.5,-41.494465210526315,0.3758236569807794,Q4
4,120,-41.454514480701754,0.3822561169764126,Q4
4,120.5,-41.42891997894737,0.3810616959630824,Q4
4,121,-41.42590056842105,0.3826995955052142,Q4
4,121.5,-41.40612749122807,0.3862747546079314,Q4
4,122,-41.47037120701754,0.37606460269334185,Q4
4,122.5,-41.4934224245614,0.38481406163168486,Q4
4,123,-41.47146587368421,0.3828182843627612,Q4
4,123.5,-41.49103053333333,0.3749245590548369,Q4
4,124,-41.48142963157895,0.36969058200523164,Q4
4,124.5,-41.44970508421053,0.36873549314210413,Q4
4,125,-41.364281715789474,0.3688321410668704,Q4
4,125.5,-41.26404029824561,0.3676926548041476,Q4
4,126,-41.287382950877195,0.3632324404762944,Q4
4,126.5,-41.23114859649123,0.3612762289238354,Q4
4,127,-41.249603754385966,0.36328171705528955,Q4
4,127.5,-41.34020689824561,0.3642226568361927,Q4
4,128,-41.352443207017544,0.36467439271332885,Q4
4,128.5,-41.238677656140354,0.37776519713835544,Q4
4,129,-41.187181978947365,0.37839369026931996,Q4
4,129.5,-41.06658863859649,0.3804268344850309,Q4
4,130,-41.02567149122807,0.3800095105690769,Q4
4,130.5,-41.03778393333333,0.38172045542040944,Q4
4,131,-41.059624375438595,0.3834799649612696,Q4
4,131.5,-41.14240590175439,0.38431553663860746,Q4
4,132,-41.193655771929826,0.38124813494509807,Q4
4,132.5,-41.25483152982456,0.3726737969233887,Q4
4,133,-41.306863887719295,0.36882662052666804,Q4
4,133.5,-41.26952049122807,0.37251900215196626,Q4
4,134,-41.262710084210525,0.37758363491961305,Q4
4,134.5,-41.300511035087716,0.3833161648860989,Q4
4,135,-41.282574371929826,0.3904532833184909,Q4
4,135.5,-41.349056985964914,0.3927222792156598,Q4
4,136,-41.35781696842105,0.4053916879401122,Q4
4,136.5,-41.32311367368421,0.41817788415965207,Q4
4,137,-41.30048665614035,0.4357496378659344,Q4
4,137.5,-41.418882354385964,0.4269159382926573,Q4
4,138,-41.4777049122807,0.4153226084400185,Q4
4,138.5,-41.425104424561404,0.41986837987413084,Q4
4,139,-41.4490419754386,0.42595178419246377,Q4
4,139.5,-41.501427336842106,0.43547666706103705,Q4
4,140,-41.55447098596491,0.43837699128301105,Q4
4,140.5,-41.68732995789473,0.436061313691452,Q4
4,141,-41.77609057192982,0.4419274422997739,Q4
4,141.5,-41.82432705614035,0.4399101781292023,Q4
4,142,-41.824870733333334,0.4430761084873695,Q4
4,142.5,-41.78276320350877,0.4347701041485594,Q4
4,143,-41.82584885614035,0.437183670778856,Q4
4,143.5,-41.85071090877193,0.44013671827763007,Q4
4,144,-41.99335716491228,0.43533412638917746,Q4
4,144.5,-42.075728898245615,0.43493138321986197,Q4
4,145,-42.156064870175435,0.4404971099641783,Q4
4,145.5,-42.12680329122807,0.448692758143916,Q4
4,146,-42.06806935438596,0.45695038611798044,Q4
4,146.5,-42.17022732631579,0.4596351362967272,Q4
4,147,-42.297853196491225,0.4551442650582533,Q4
4,147.5,-42.38444204210526,0.4646995993411088,Q4
4,148,-42.44683388421053,0.4710254572276705,Q4
4,148.5,-42.404578301754384,0.47168293918751736,Q4
4,149,-42.36604679298245,0.4720054765497794,Q4
4,149.5,-42.268839842105265,0.4607911701994066,Q4
4,150,-42.14775494736842,0.47024512777363947,Q4
4,150.5,-42.087386680701755,0.4775456025926855,Q4
4,151,-42.065905768421054,0.48171699647080973,Q4
4,151.5,-42.078340652631574,0.4940002958773811,Q4
4,152,-42.10242508070176,0.49769016737863425,Q4
4,152.5,-42.00289865263158,0.4878741513069028,Q4
4,153,-41.947448522807015,0.47626620133700837,Q4
4,153.5,-41.82305387719298,0.47974882634564053,Q4
4,154,-41.90070767368421,0.4874409840222879,Q4
4,154.5,-41.97256743508772,0.4946945673732657,Q4
4,155,-41.956017642105266,0.5010514239887166,Q4
4,155.5,-41.81203495087719,0.487252574679082,Q4
4,156,-41.61688649122807,0.47682452252204777,Q4
4,156.5,-41.43465758947368,0.47380662637217874,Q4
4,157,-41.29681529122807,0.4769230591808541,Q4
4,157.5,-41.24185389122807,0.4821328000663707,Q4
4,158,-41.210933385964914,0.48097979851098166,Q4
4,158.5,-41.0826620631579,0.48150725052214527,Q4
4,159,-40.89867076491228,0.481111257136454,Q4
4,159.5,-40.7192856,0.479809514821826,Q4
4,160,-40.54373155789474,0.4718863413796529,Q4
4,160.5,-40.39842573333333,0.4491182565220241,Q4
4,161,-40.11640406666667,0.4507968076708866,Q4
4,161.5,-39.79313227719298,0.4466372855656418,Q4
4,162,-39.61190359298246,0.44626485553404,Q4
4,162.5,-39.56545724210526,0.4548297737563856,Q4
4,163,-39.5526879122807,0.47104322780528857,Q4
4,163.5,-39.54001359649123,0.4800407714199711,Q4
4,164,-39.44499898596491,0.48135811121021627,Q4
4,164.5,-39.379518866666665,0.4677138748656912,Q4
4,165,-39.27014070526316,0.45488663830349624,Q4
4,165.5,-39.22342620350877,0.44232952741766984,Q4
4,166,-39.19474565263158,0.4395848256503679,Q4
4,166.5,-39.304422322807014,0.4468431753096512,Q4
4,167,-39.65834783859649,0.44732924410140784,Q4
4,167.5,-39.97191405964912,0.46045401303130296,Q4
4,168,-40.29940376140351,0.4771603453350487,Q4
4,168.5,-40.56452781754386,0.48666495264871096,Q4
4,169,-40.63649922105263,0.5071275441812235,Q4
4,169.5,-40.7670989368421,0.4973488115792699,Q4
4,170,-41.03987418596491,0.4953263860809613,Q4
5,45,-40.58862482456141,0.7649131784927218,Q5 (highest)
5,45.5,-40.51848240350877,0.767599941169406,Q5 (highest)
5,46,-40.344114385964915,0.7580571294356416,Q5 (highest)
5,46.5,-39.971439859649124,0.7564701892621913,Q5 (highest)
